                                                                                                       #config  avg(ms)    p50     p90     p99
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[8][256,14,14]   0.631   0.684   0.694   0.802
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,7,7]   0.619   0.662   0.673   0.786
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,7,7]   0.562   0.610   0.615   0.768
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,7,7]   0.560   0.617   0.632   0.748
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,7,7]   0.548   0.594   0.641   0.719
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,7,7]   0.573   0.559   0.668   0.738
                                                   adAvgPool2d{"output_height":1,"output_width":1}[8][512,7,7]   0.092   0.092   0.110   0.109
                                                                          flatten{"kernel_size":1}[8][512,1,1]   0.089   0.094   0.116   0.133
                                               linear{"bias":true,"in_features":512,"out_features":1000}[8]512   0.107   0.114   0.118   0.096
                                                                                            SUM(avg)  17.789
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[4][3,224,224]   0.424   0.441   0.443   0.474
                                              maxPool2d{"kernel_size":3,"padding":1,"stride":2}[4][64,112,112]   0.167   0.168   0.181   0.194
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.328   0.334   0.411   0.540
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.374   0.378   0.439   0.443
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.371   0.373   0.472   0.441
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.375   0.372   0.500   0.484
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.371   0.375   0.461   0.503
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,56,56]   0.387   0.386   0.482   0.585
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":2}[4][64,56,56]   0.548   0.548   0.658   0.606
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.398   0.398   0.424   0.384
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.436   0.437   0.531   0.422
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.445   0.484   0.538   0.426
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.452   0.472   0.478   0.404
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.457   0.457   0.536   0.465
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.463   0.478   0.511   0.431
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,28,28]   0.473   0.493   0.508   0.444
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":2}[4][128,28,28]   0.460   0.468   0.483   0.568
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.598   0.623   0.631   0.739
