                                                                                                       #config  avg(ms)    p50     p90     p99
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.403   0.393   0.432   0.457
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][768,17,17]   0.340   0.333   0.287   0.413
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[2][768,17,17]   0.113   0.111   0.128   0.147
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[2][192,17,17]   0.371   0.368   0.375   0.401
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[2][192,17,17]   0.439   0.460   0.461   0.523
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[2][192,17,17]   0.447   0.450   0.511   0.522
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[2][192,17,17]   0.295   0.288   0.322   0.378
                                                                          concat{"kernel_size":1}[2][1280,8,8]   0.355   0.349   0.386   0.371
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[2][1280,8,8]   0.379   0.360   0.406   0.400
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[2][1280,8,8]   0.434   0.426   0.481   0.426
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[2][1280,8,8]   0.309   0.303   0.358   0.317
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][1280,8,8]   0.091   0.086   0.101   0.090
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[2][384,8,8]   0.363   0.353   0.398   0.408
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[2][384,8,8]   0.338   0.319   0.375   0.363
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[2][448,8,8]   0.579   0.562   0.611   0.606
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][1280,8,8]   0.317   0.307   0.346   0.349
                                                                           concat{"kernel_size":1}[2][768,8,8]   0.124   0.120   0.133   0.147
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[2][384,8,8]   0.387   0.354   0.404   0.440
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[2][384,8,8]   0.337   0.313   0.366   0.366
                                                                           concat{"kernel_size":1}[2][768,8,8]   0.118   0.121   0.125   0.116
                                                                          concat{"kernel_size":1}[2][2048,8,8]   0.410   0.402   0.432   0.395
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[2][2048,8,8]   0.563   0.587   0.577   0.588
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[2][2048,8,8]   0.519   0.486   0.529   3.608
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[2][2048,8,8]   0.344   0.339   0.373   0.324
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[2][2048,8,8]   0.102   0.104   0.101   0.104
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[2][384,8,8]   0.375   0.386   0.396   0.396
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[2][384,8,8]   0.347   0.352   0.351   0.360
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[2][448,8,8]   0.631   0.621   0.623   0.604
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[2][2048,8,8]   0.358   0.368   0.377   0.384
                                                                           concat{"kernel_size":1}[2][768,8,8]   0.143   0.144   0.158   0.142
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[2][384,8,8]   0.410   0.427   0.430   0.417
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[2][384,8,8]   0.366   0.385   0.383   0.372
                                                                           concat{"kernel_size":1}[2][768,8,8]   0.137   0.140   0.145   0.175
                                                                          concat{"kernel_size":1}[2][2048,8,8]   0.221   0.225   0.230   0.268
                                                  adAvgPool2d{"output_height":1,"output_width":1}[2][2048,8,8]   0.165   0.167   0.178   0.172
                                                                         flatten{"kernel_size":1}[2][2048,1,1]   0.109   0.095   0.139   0.183
                                             linear{"bias":true,"in_features":2048,"out_features":1000}[2]2048   0.091   0.099   0.090   0.088
                                                                                            SUM(avg)  41.180
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[1][3,299,299]   0.223   0.221   0.276   0.279
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[1][32,149,149]   0.337   0.337   0.335   0.386
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][32,147,147]   0.426   0.421   0.425   0.520
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[1][64,147,147]   0.128   0.128   0.126   0.163
                conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[1][64,73,73]   0.286   0.286   0.293   0.321
               conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[1][80,73,73]   0.560   0.558   0.560   0.656
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[1][192,71,71]   0.273   0.265   0.275   0.311
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][192,35,35]   0.307   0.308   0.302   0.375
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[1][192,35,35]   0.292   0.291   0.293   0.340
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][192,35,35]   0.295   0.292   0.297   0.346
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][192,35,35]   0.122   0.122   0.123   0.146
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[1][48,35,35]   0.413   0.411   0.413   0.489
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][64,35,35]   0.395   0.397   0.389   0.474
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[1][192,35,35]   0.309   0.305   0.305   0.356
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][96,35,35]   0.401   0.395   0.397   0.462
                                                                         concat{"kernel_size":1}[1][256,35,35]   0.365   0.376   0.379   0.406
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][256,35,35]   0.356   0.362   0.355   0.419
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[1][256,35,35]   0.286   0.282   0.283   0.341
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][256,35,35]   0.313   0.329   0.317   0.368
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][256,35,35]   0.121   0.119   0.120   0.143
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[1][48,35,35]   0.404   0.422   0.403   0.472
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][64,35,35]   0.390   0.391   0.386   0.457
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][256,35,35]   0.309   0.307   0.313   0.365
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][96,35,35]   0.391   0.395   0.395   0.463
                                                                         concat{"kernel_size":1}[1][288,35,35]   0.358   0.346   0.353   0.410
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][288,35,35]   0.323   0.328   0.326   0.388
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[1][288,35,35]   0.304   0.309   0.312   0.379
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][288,35,35]   0.278   0.284   0.278   0.344
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][288,35,35]   0.122   0.124   0.132   0.146
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[1][48,35,35]   0.391   0.403   0.398   0.467
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][64,35,35]   0.375   0.384   0.391   0.460
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][288,35,35]   0.277   0.292   0.294   0.348
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][96,35,35]   0.381   0.396   0.394   0.458
                                                                         concat{"kernel_size":1}[1][288,35,35]   0.310   0.327   0.323   0.362
             conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[1][288,35,35]   0.509   0.530   0.528   0.857
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[1][288,35,35]   0.255   0.280   0.281   0.357
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[1][288,35,35]   0.121   0.132   0.137   0.168
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[1][64,35,35]   0.381   0.391   0.390   0.450
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[1][96,35,35]   0.303   0.325   0.335   0.392
                                                                         concat{"kernel_size":1}[1][768,17,17]   0.321   0.324   0.323   0.492
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.321   0.338   0.341   0.476
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[1][768,17,17]   0.253   0.254   0.276   0.363
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[1][768,17,17]   0.251   0.228   0.276   0.356
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][768,17,17]   0.104   0.097   0.118   0.116
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[1][128,17,17]   0.340   0.318   0.369   0.492
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[1][128,17,17]   0.339   0.313   0.370   0.489
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.287   0.266   0.310   0.390
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][128,17,17]   0.324   0.298   0.353   0.466
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[1][128,17,17]   0.337   0.314   0.368   0.493
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[1][128,17,17]   0.338   0.312   0.371   0.485
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][128,17,17]   0.328   0.304   0.361   0.468
                                                                         concat{"kernel_size":1}[1][768,17,17]   0.345   0.333   0.361   0.444
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.323   0.296   0.345   0.449
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[1][768,17,17]   0.275   0.251   0.307   0.369
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[1][768,17,17]   0.276   0.251   0.308   0.351
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][768,17,17]   0.107   0.095   0.122   0.117
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[1][160,17,17]   0.314   0.299   0.331   0.464
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[1][160,17,17]   0.315   0.294   0.352   0.456
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.284   0.262   0.302   0.405
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][160,17,17]   0.321   0.304   0.337   0.493
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[1][160,17,17]   0.311   0.294   0.352   0.458
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[1][160,17,17]   0.308   0.286   0.349   0.453
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][160,17,17]   0.326   0.307   0.364   0.476
                                                                         concat{"kernel_size":1}[1][768,17,17]   0.337   0.332   0.362   0.375
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.330   0.346   0.376   0.435
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[1][768,17,17]   0.257   0.249   0.308   0.250
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[1][768,17,17]   0.259   0.263   0.266   0.252
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][768,17,17]   0.097   0.095   0.121   0.098
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[1][160,17,17]   0.310   0.297   0.326   0.418
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[1][160,17,17]   0.305   0.299   0.292   0.303
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.282   0.291   0.331   0.391
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][160,17,17]   0.334   0.392   0.365   0.484
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[1][160,17,17]   0.299   0.290   0.292   0.300
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[1][160,17,17]   0.303   0.293   0.294   0.295
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][160,17,17]   0.334   0.353   0.307   0.478
                                                                         concat{"kernel_size":1}[1][768,17,17]   0.343   0.388   0.376   0.489
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.331   0.346   0.318   0.456
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.279   0.274   0.254   0.264
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.278   0.314   0.293   0.360
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][768,17,17]   0.092   0.102   0.093   0.099
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][192,17,17]   0.360   0.390   0.328   0.588
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][192,17,17]   0.360   0.390   0.413   0.386
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.289   0.257   0.263   0.477
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][192,17,17]   0.355   0.326   0.311   0.589
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][192,17,17]   0.357   0.369   0.325   0.380
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][192,17,17]   0.357   0.371   0.326   0.428
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][192,17,17]   0.361   0.324   0.323   0.613
                                                                         concat{"kernel_size":1}[1][768,17,17]   0.307   0.326   0.329   0.448
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.354   0.361   0.423   0.492
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][768,17,17]   0.294   0.321   0.290   0.443
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[1][768,17,17]   0.106   0.104   0.125   0.154
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[1][192,17,17]   0.275   0.277   0.289   0.366
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[1][192,17,17]   0.390   0.423   0.503   0.607
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[1][192,17,17]   0.403   0.429   0.521   0.603
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[1][192,17,17]   0.259   0.268   0.267   0.364
                                                                          concat{"kernel_size":1}[1][1280,8,8]   0.343   0.349   0.378   0.496
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[1][1280,8,8]   0.363   0.391   0.403   0.497
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[1][1280,8,8]   0.414   0.383   0.499   0.534
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[1][1280,8,8]   0.297   0.293   0.358   0.402
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][1280,8,8]   0.087   0.069   0.100   0.095
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[1][384,8,8]   0.299   0.324   0.346   0.430
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[1][384,8,8]   0.297   0.314   0.338   0.412
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[1][448,8,8]   0.415   0.398   0.462   0.535
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][1280,8,8]   0.314   0.317   0.355   0.397
                                                                           concat{"kernel_size":1}[1][768,8,8]   0.123   0.129   0.137   0.150
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[1][384,8,8]   0.317   0.313   0.363   0.378
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[1][384,8,8]   0.290   0.237   0.338   0.352
                                                                           concat{"kernel_size":1}[1][768,8,8]   0.117   0.124   0.125   0.140
                                                                          concat{"kernel_size":1}[1][2048,8,8]   0.396   0.430   0.427   0.596
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[1][2048,8,8]   0.518   0.517   0.591   0.574
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[1][2048,8,8]   0.441   0.469   0.499   0.551
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[1][2048,8,8]   0.320   0.353   0.352   0.375
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[1][2048,8,8]   0.091   0.096   0.100   0.099
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[1][384,8,8]   0.285   0.302   0.332   0.325
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[1][384,8,8]   0.302   0.342   0.353   0.348
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[1][448,8,8]   0.433   0.482   0.475   0.610
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[1][2048,8,8]   0.337   0.344   0.375   0.385
                                                                           concat{"kernel_size":1}[1][768,8,8]   0.131   0.136   0.140   0.140
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[1][384,8,8]   0.321   0.362   0.369   0.372
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[1][384,8,8]   0.306   0.333   0.340   0.355
                                                                           concat{"kernel_size":1}[1][768,8,8]   0.130   0.138   0.145   0.132
                                                                          concat{"kernel_size":1}[1][2048,8,8]   0.211   0.211   0.241   0.247
                                                  adAvgPool2d{"output_height":1,"output_width":1}[1][2048,8,8]   0.154   0.151   0.171   0.252
                                                                         flatten{"kernel_size":1}[1][2048,1,1]   0.097   0.092   0.127   0.160
                                             linear{"bias":true,"in_features":2048,"out_features":1000}[1]2048   0.085   0.085   0.086   0.086
                                                                                            SUM(avg)  37.270
