                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][96,35,35]   0.848   0.850   0.848   0.851
                                                                        concat{"kernel_size":1}[64][288,35,35]   0.860   0.860   0.859   0.855
            conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[64][288,35,35]   1.879   1.879   1.880   1.878
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][288,35,35]   0.782   0.782   0.780   0.779
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[64][288,35,35]   0.678   0.678   0.678   0.678
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][64,35,35]   0.681   0.682   0.680   0.682
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[64][96,35,35]   0.438   0.439   0.438   0.437
                                                                        concat{"kernel_size":1}[64][768,17,17]   0.675   0.674   0.674   0.676
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.617   0.617   0.617   0.616
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[64][768,17,17]   0.543   0.543   0.544   0.542
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[64][768,17,17]   0.535   0.537   0.534   0.536
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][768,17,17]   1.248   1.248   1.247   1.248
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[64][128,17,17]   0.336   0.336   0.336   0.334
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[64][128,17,17]   0.341   0.341   0.341   0.341
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.617   0.616   0.618   0.619
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][128,17,17]   0.421   0.422   0.422   0.423
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[64][128,17,17]   0.336   0.335   0.336   0.334
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[64][128,17,17]   0.333   0.333   0.332   0.335
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][128,17,17]   0.416   0.417   0.416   0.418
                                                                        concat{"kernel_size":1}[64][768,17,17]   0.684   0.685   0.685   0.686
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.615   0.615   0.616   0.614
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[64][768,17,17]   0.570   0.570   0.571   0.571
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[64][768,17,17]   0.565   0.565   0.566   0.567
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][768,17,17]   1.247   1.246   1.247   1.250
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[64][160,17,17]   0.543   0.543   0.544   0.545
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[64][160,17,17]   0.543   0.543   0.543   0.543
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.613   0.614   0.613   0.614
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][160,17,17]   0.573   0.573   0.575   0.573
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[64][160,17,17]   0.542   0.541   0.541   0.542
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[64][160,17,17]   0.534   0.535   0.534   0.534
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][160,17,17]   0.568   0.567   0.568   0.568
                                                                        concat{"kernel_size":1}[64][768,17,17]   0.683   0.682   0.685   0.681
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.617   0.616   0.618   0.618
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[64][768,17,17]   0.569   0.570   0.569   0.567
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[64][768,17,17]   0.564   0.564   0.565   0.566
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][768,17,17]   1.248   1.248   1.248   1.247
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[64][160,17,17]   0.545   0.545   0.545   0.546
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[64][160,17,17]   0.545   0.545   0.545   0.546
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.614   0.614   0.614   0.613
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][160,17,17]   0.574   0.574   0.574   0.573
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[64][160,17,17]   0.541   0.541   0.540   0.542
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[64][160,17,17]   0.536   0.536   0.535   0.536
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][160,17,17]   0.570   0.570   0.571   0.569
                                                                        concat{"kernel_size":1}[64][768,17,17]   0.686   0.686   0.688   0.685
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.615   0.615   0.615   0.616
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.590   0.591   0.590   0.590
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.587   0.587   0.588   0.589
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][768,17,17]   1.249   1.249   1.249   1.249
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][192,17,17]   0.674   0.674   0.674   0.676
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][192,17,17]   0.673   0.672   0.673   0.671
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.613   0.613   0.613   0.613
